Q1914636	activity
Q3249551	process
Q17442446	Wikimedia internal stuff
Q12139612	enumeration
Q20202269	music term
Q7366	song
Q155171	cover version
Q816829	periodization
Q1752346	assembly
Q43229	organization
Q2495862	Congress
Q23893363	erroneous entry?, parent of cultural heritage
Q17633526	Wikinews article
Q65943	theorem
Q49703	sacrament
Q12136	disease
Q7946	mineral
Q483247	phenomenon
Q7406919	service
Q11053	RNA
Q1002697	periodical literature
Q1724915	use
Q4204519	historical fact
Q2695280	technique
Q3267056	competence
Q2277601	inflationary measures
Q186361	punishment
Q3265221	identification
Q23009459	connect
Q207869	epithet
Q21010924	safety precaution
Q19833559	preparation
Q1215228	dribbling
Q28732711	physical substance
Q23009675	gifting
Q23009552	exchange
Q4119870	academic writing
Q5707594	news article
Q21191270	television series episode
Q15416	television program
Q3464665	television series season
Q23808	interface
Q17537576	creative work
Q5398426	television series
Q62008942	electronic device model
Q618779	award
Q28640	profession
Q861181	illustration
Q223393	literary genre
Q6504956	data visualization
Q2309609	wayside cross
Q12973014	sports team
Q9779	alphabet
Q42303753	designated intractable/rare diseases
Q1530022	religious organization
Q80071	symbol
Q61130878	nations at occurrence
Q52948	interaction
Q2249149	electronic game
Q174834	authority
Q968159	art movement
Q639907	medical finding
Q1431026	horeca
Q11578774	broadcasting program
Q780687	rights
Q184872	recreation
Q7257	ideology
Q705914	deed
Q54802199	nation in the Eurovision Contest
Q39971877	selection
Q1539532	sports season of a sports club
Q21162272	means
Q3084961	product lining
Q60986091	building protected by a town plan
Q61130878	nations at occurrence
Q46195901	nation at the Paralympics
Q28454366	data collection system
Q74648754	sports records and statistics
Q14946528	conflation
Q65757353	transformation
Q61788060	human activity
